input_raw,vendor_hint,model_hint,version_hint,comment
Lantronix SLC8032,lantronix,slc8032,UNKNOWN
Lantronix SLC8,lantronix,slc8,UNKNOWN
Lantronix SLC48,lantronix,slc48,UNKNOWN
antronix SLC32,lantronix,slc32,UNKNOWN
Lantronix SECURELINX SLC8032,lantronix,securelinx slc8032,UNKNOWN
Lantronix SECURELINX SLC32 - SLC03212N-02,lantronix,securelinx slc32,slc03212n-02
Lantronix SECURELINX SLC32,lantronix,securelinx slc32,UNKNOWN
