pattern,vendor,model,version,confidence
Cisco C9800-40-K9,Cisco,C9800-40-K9,,0.99
Procera PacketLogic PL8840,Procera,PacketLogic PL8840,,0.99
Cisco As5300,Cisco,As5300,,0.99
Hewlett Packard Apollo 4510 G10,Hewlett Packard,Apollo 4510,Gen10,0.99
Cisco 8510,Cisco,8510,,0.99
Radware Defensepro 20,Radware,Defensepro 20,,0.99
Tektronix Medius Manager,Tektronix,Medius Manager,,0.99
Cisco 1921/K9,Cisco,1921/K9,,0.99
Dallmeier S Matrix,Dallmeier,S Matrix,,0.99
Brocade 6510,Brocade,6510,,0.99
Palo Alto Networks PA-5420,Palo Alto Networks,PA-5420,,0.99
Cisco C9300-24S-E,Cisco,C9300-24S-E,,0.99
HEWLETT PACKARD MSA2000,Hewlett Packard,MSA2000,,0.99
Hewlett Packard MSA P2000 G3,Hewlett Packard,MSA P2000 G3,,0.99
Sevone DNC 100,Sevone,DNC 100,,0.99
Harmonic Electra XOS,Harmonic,Electra XOS,,0.99
Panduit Eagle-I,Panduit,Eagle-I,,0.99
Super Micro CSE-216-X08,Super Micro,CSE-216-X08,,0.99
US Robotics 56K Modem,US Robotics,56K Modem,,0.99
Bluecoat Systems Director,Bluecoat,Systems Director,,0.99
Hewlett Packard 3PAR StoreServ 8000,Hewlett Packard,3PAR StoreServ 8000,,0.99
Opengear IM7200 Infrastructure Manager,Opengear,IM7200 Infrastructure Manager,,0.99
EMC Isilon X200,EMC,Isilon X200,,0.99
Hewlett Packard Apollo 4510,Hewlett Packard,Apollo 4510,,0.99
Oracle Sun X4-2L,Oracle Sun,X4-2L,,0.99
HEWLETT PACKARD PROLIANT DL360p GEN 10,Hewlett Packard,ProLiant DL360p,Gen10,0.99
Symantec NetBackUp 5230 - Shelf,Symantec,NetBackUp 5230 - Shelf,,0.99
